ID ,,Life Cycle,,Cultivated?,,Leaf type,,Leaf Type 2,,,Leaf size,,,Plant form,,,,,,,,Rooting depth,Pollination,,,,,,,Seed dispersal,,,,,
Morphospecies ,species code,Annual,Perennial,Ornamental,Not Ornamental,Simple,Lobed (major leaf projections),Deciduous (lose their leaves at the end of growing season),"Herbaceous (non-woody stem, top dies during winter but roots reimain alive) - all annuals are herbaceous!",Ever green (retain leaves all year round),"Length (max, cm)","Width (max, cm)",Leaf area,Herb,Vine,Geophyte,Succulent,Grass,Shrub,Tree,Plant height (m) (avg),Rooting depth min (cm),Passive,Wind,Insect,Self,Bird,Animal (small),Animal (large),Wind,Unassisted,Ant,Animal,Water,Uses mainly vegetative reproduction?
3-Balled Mint,,1,0,0,1,1,0,0,1,0,,,,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,Add human dispersal?
3-leaf mint,BIPI,1,0,0,1,1,0,0,1,0,7,3.5,24.5,1,0,0,0,0,0,0,1.5,1,0,0,1,0,0,0,0,0,1,0,1,0,
9th ward tickler,SOCA6,1,0,0,1,0,0,0,0,0,15,2.5,37.5,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,
Alligator Weed,ALPH,0,1,0,1,0,1,0,1,0,10,10,100,1,0,0,0,0,0,0,0.25,50,0,0,0,1,0,0,0,0,0,0,1,0,
Alpina zerumbet,ALZE,0,1,1,0,1,0,0,0,1,50,15,750,1,0,0,0,0,0,0,0.6,,0,0,1,0,1,0,0,0,0,0,1,0,
Amaranth,AMVI,1,0,0,1,1,0,0,1,0,5,4,20,1,0,0,0,0,0,0,0.7,3,0,1,0,1,0,0,0,1,0,0,0,1,
Ampelopsis,AMAR5,0,1,0,1,0,1,1,0,0,5,2.5,12.5,0,1,0,0,0,0,0,8,6,0,0,0,0,1,1,0,0,0,0,1,0,
Angel's Trumpet,BRCA31,0,1,1,0,1,0,0,0,1,30,10,300,0,0,0,0,0,1,1,4,,0,0,1,0,0,0,0,0,0,0,1,0,
Annual Jew Grass,MIVI,1,0,0,1,1,0,0,1,0,5,2,10,1,0,0,0,1,0,0,0.6,3,0,1,0,1,0,0,0,1,0,0,1,1,
Andropogon,ANGL2,0,1,0,1,1,0,0,0,1,50,5,250,0,0,0,0,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,1,0,
Aquarium Weed,ELCA7,0,1,0,1,1,0,1,0,0,1.7,0.4,0.68,1,0,0,0,0,0,0,1.5,5,0,1,0,0,0,0,0,1,0,0,0,1,
Asian Jasmine,TRJA,0,1,0,1,1,0,0,0,1,3,2.5,7.5,0,1,0,0,0,0,0,4,2,0,0,0,0,1,1,0,0,1,0,0,0,
Asparagus Fern,ASDE12,0,1,1,0,1,0,0,0,1,2.5,0.5,1.25,1,0,0,0,0,1,0,0.5,10,0,0,0,1,1,0,0,0,0,0,1,0,
Azalea,RHPE4,0,1,1,1,1,0,1,0,1,7,3,21,0,0,0,0,0,1,0,1.5,,0,0,1,0,0,0,0,0,0,0,1,0,
Azalea (invasive),RHJA2,0,1,1,0,1,0,0,0,1,7,3,21,0,0,0,0,0,1,0,2,,0,0,1,0,0,0,0,0,0,0,1,0,
Sundew,DRRO,0,1,0,1,1,0,0,0,1,3,2,6,1,0,0,0,0,0,0,0.25,,0,1,1,1,0,0,0,0,1,0,0,1,
Bald cypress,TADI2,0,1,1,1,1,0,1,0,0,5,2,10,0,0,0,0,0,0,1,35,"long taproot, shallow spreading roots",0,1,0,0,0,0,0,0,0,0,1,1,
"Ball flower (orange), scarlet pimpernel",ANAR,1,0,0,1,0,1,1,0,0,2.8,1,2.8,1,0,0,0,0,0,0,0.25,20,0,0,1,0,0,0,0,1,0,0,1,1,
"ball flower grass, blue-eyed grass",SIRO5,1,0,0,1,0,1,0,1,0,3.6,0.2,0.72,1,0,0,0,1,0,0,0.15,,0,1,0,0,0,0,0,0,0,0,0,0,
Bamboo,BAVU2,0,1,1,0,1,0,0,0,1,25,4,100,1,0,0,0,0,1,0,20,,0,1,0,0,0,0,0,0,1,0,0,0,
Belladonna,SODO,0,1,0,1,1,0,1,0,0,7.5,5,37.5,1,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,1,0,
"bermuda grass (false), st. augustine",STSE,0,1,0,1,1,0,0,0,1,10,1,10,0,0,0,0,1,0,0,0.3,,0,1,0,0,0,0,0,0,0,0,0,1,1
Bird of paradise,STREL,0,1,1,0,1,0,0,1,0,45,15,675,0,0,0,0,0,1,0,1.5,50,0,0,0,0,1,0,0,0,0,0,1,0,
Bolting Yellow Flower,GOSE,0,1,0,1,0,0,0,0,1,5,1,5,1,0,0,0,0,0,0,0.15,,0,1,0,0,0,0,,0,0,1,0,0,
